AddressExtras,AddressKey,AddressLine1,AddressLine2,AddressTypeCode,CarrierRoute,City,CityAbbreviation,CompanyName,CountryCode,CountryName,DeliveryIndicator,DeliveryPointCheckDigit,DeliveryPointCode,EmailAddress,Latitude,Longitude,MelissaAddressKey,MelissaAddressKeyBase,NameFull,PhoneNumber,PostalCode,RecordExtras,RecordID,Reserved,Results,State,StateName,UTC,UrbanizationName
 ,92617405139,139 Schubert Ct, ,S,C003,Irvine,Irvine, ,US,United States of America,R,3,39, ,33.642262,-117.838959,3990609897, , , ,92617-4051, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617405109,109 Schubert Ct, ,S,C003,Irvine,Irvine, ,US,United States of America,R,6,09, ,33.641968,-117.839706,5591549669, , , ,92617-4051, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617406109,9 Zola Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,5,09, ,33.637596,-117.837129,4064033042, , , ,92617-4061, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617407115,15 Harvey Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,7,15, ,33.636563,-117.842683,5702078032, , , ,92617-4071, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617409507,7 Fuertes, ,S,C004,Irvine,Irvine, ,US,United States of America,R,0,07, ,33.639569,-117.834939,5589087123, , , ,92617-4095, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617406914,14 Whistler Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,1,14, ,33.635174,-117.840659,5855373224, , , ,92617-4069, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617406576,76 Whitman Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,7,76, ,33.636475,-117.838058,5650331339, , , ,92617-4065, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617405318,18 Virgil Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,4,18, ,33.638766,-117.837570,5762785700, , , ,92617-4053, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617402924,24 Dickens Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,4,24, ,33.638505,-117.841896,6042452935, , , ,92617-4029, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617405306,6 Virgil Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,7,06, ,33.638433,-117.838356,6053542140, , , ,92617-4053, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617402918,18 Dickens Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,1,18, ,33.638938,-117.842185,6059076944, , , ,92617-4029, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617405718,18 Whitman Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,0,18, ,33.636405,-117.841226,5779693733, , , ,92617-4057, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617402811,11 Dickens Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,9,11, ,33.638775,-117.842898,5806132875, , , ,92617-4028, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617404318,18 Perkins Ct, ,S,C004,Irvine,Irvine, ,US,United States of America,R,5,18, ,33.640109,-117.839418,4057513340, , , ,92617-4043, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617403002,2 Gibbs Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,6,02, ,33.638157,-117.843701,6432716271, , , ,92617-4030, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617406744,44 Schubert Ct, ,S,C003,Irvine,Irvine, ,US,United States of America,R,0,44, ,33.641667,-117.838216,6597736914, , , ,92617-4067, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617407916,16 Handel Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,8,16, ,33.635200,-117.841500,6273475556, , , ,92617-4079, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617408703,3 Murasaki St, ,S,C004,Irvine,Irvine, ,US,United States of America,R,3,03, ,33.640947,-117.836080,6018183155, , , ,92617-4087, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617405131,131 Schubert Ct, ,S,C003,Irvine,Irvine, ,US,United States of America,R,1,31, ,33.642178,-117.838646,6207017444, , , ,92617-4051, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617409220,20 Fuertes, ,S,C004,Irvine,Irvine, ,US,United States of America,R,8,20, ,33.639432,-117.833664,6069599943, , , ,92617-4092, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617406105,5 Zola Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,9,05, ,33.637389,-117.837321,6178748901, , , ,92617-4061, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617409416,16 Frost, ,S,C004,Irvine,Irvine, ,US,United States of America,R,1,16, ,33.639133,-117.834423,5933992370, , , ,92617-4094, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617408709,9 Murasaki St, ,S,C004,Irvine,Irvine, ,US,United States of America,R,7,09, ,33.640745,-117.835532,5901747324, , , ,92617-4087, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617408817,17 Murasaki St, ,S,C004,Irvine,Irvine, ,US,United States of America,R,7,17, ,33.640278,-117.834854,5971352183, , , ,92617-4088, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617406925,25 Whistler Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,9,25, ,33.635779,-117.840210,6229935740, , , ,92617-4069, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617400001,1 Russell Ct, ,S,C003,Irvine,Irvine, ,US,United States of America,R,0,01, ,33.641095,-117.838799,6341653927, , , ,92617-4000, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617407728,28 Urey Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,7,28, ,33.637562,-117.841339,5945097637, , , ,92617-4077, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617407914,14 Handel Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,0,14, ,33.635134,-117.841668,7312991211, , , ,92617-4079, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617409406,6 Frost, ,S,C004,Irvine,Irvine, ,US,United States of America,R,2,06, ,33.639369,-117.835266,8753731676, , , ,92617-4094, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617409110,10 Twain, ,S,C004,Irvine,Irvine, ,US,United States of America,R,0,10, ,33.639561,-117.835423,3688535963, , , ,92617-4091, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617404003,3 Owen Ct, ,S,C004,Irvine,Irvine, ,US,United States of America,R,4,03, ,33.638963,-117.838570,7885059978, , , ,92617-4040, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617404404,4 Thompson Ct, ,S,C003,Irvine,Irvine, ,US,United States of America,R,9,04, ,33.640750,-117.839017,7756760981, , , ,92617-4044, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617402406,6 Blake Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,9,06, ,33.640451,-117.842004,7848958183, , , ,92617-4024, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617409204,4 Fuertes, ,S,C004,Irvine,Irvine, ,US,United States of America,R,6,04, ,33.639994,-117.834970,4012123298, , , ,92617-4092, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
